slug,colorCode,type,number,name,alternateNames,ciConstitutionNumber,composition,description,transparencyRatingCode,lightfastRatingCode,toxicity,notes
PO49,O,CIPIGMENT,49,Quinacridone Gold,"C.I. Pigment Orange 49;
 CIinquasia® Gold [KP.pd];
 Golden Lake [MA.od.wd];
 Monastral Deep Gold;
 Pigment Orange 49;
 Quinacridone Deep Gold;
 Quinacridone Gold [DS.ad.od.wd | GU.pd.p | MA.a* | WN.a];
 Quinacridone Gold (GS/Green Shade) [DS.a.o.w];
 Quinacridone Sienna;
 Quindo Gold Deep;
 Quindo Red Gold;
 Rowney Transparent Brown [DR.o]",73900+ 73920,"Synthetic organic; 
 Oxidation of dihydroquinacridone under conditions that produce a mixed crystal phase of Quinacridone & Quinacridonequinone. The product produces a unique x-ray diffraction pattern that is different from either of the quinacridones on their own or in a mix.;
 C.I.Pigment Violet 19 (C.I. 73900) and C.I.Pigment Red 206 (C.I. 73920) co-precipitated. The exact derivative has not been disclosed;
 CAS 71819-75-5","Deep slightly dull golden yellowish orange;
 Moderately staining w/ Moderate tinting strength",T,II,A,
PO51,O,CIPIGMENT,51,Pyranthrone Orange,"C.I. Pigment Orange 51;
 Paliogen® Orange [KP.p];
 Paliogenorange;
 Pigment Orange 51;
 Pyranthrone Orange [GU]",,"Synthetic Organic;
 2, 10 dichloropyranthrone derivative",Mid shade to reddish orange,S/T,I,,
PO52,O,CIPIGMENT,52,"Pyranthrone Orange, red shade","C.I. Pigment Orange 52;
 Pigment Orange 52;
 Pyranthrone Orange Red Shade",,"Synthetic Organic;
 CAS 61512-62-7",Reddish orange,X,I,,
PO53,O,CIPIGMENT,53,Pyranthrone Orange,"C.I. Pigment Orange 53;
 Pyranthrone Orange;
 Pigment Orange 53",,"Synthetic Organic;
 Pyranthrone",,X,X,,
PO59,O,CIPIGMENT,59,Pigment Orange 59,"C.I. Pigment Orange 59;
 Dinitraniline Orange;
 Organic Nickel Orange [GU.pd];
 Paliotol® Orange [KP.p];
 Permanent Orange;
 Pigment Orange 59",12075,"Organic synthetic monoazo nickle complex;
 Metal Complex / Azo Methine;","Light value yellowish to red orange;
 fair tinting strength",S/T,NR,B,
PO60,O,CIPIGMENT,60,Benzimidazolone Orange HGL,"Azo Orange;
 Benzimidazolone Orange;
 Cadmium Orange Tone (hue);
 C.I. Pigment Orange 60;
 Midazo HGL [GU.pd];
 Midazo Orange HGL [GU.pd]
 Pigment Orange 60",11782,"Synthetic Organic;
 Monoazo; Benzimidazolone;
 CAS 68399-99-5","Reddish orange;
 Mid. staining w/ fair tinting strength",S/T,NR,A,
PO61,O,CIPIGMENT,61,Isoindolol Orange,"Chinese Lake [SE.o];
 C.I. Pigment Orange 61;
 Chromophal 2G [GU.pd.p]; 
 Indolinone Orange [OH.a];
 Irgazin® Orange L ;
 Isoindoline Orange 61;
 Isoindol Orange [KP.p]; 
 Permanent Orange;
 Pigment Orange 61",11265,"Synthetic Organic;
 Tetrachloro-isoindolinone;
 CAS 40716-47-0","Reddish dark orange;
 moderate tinting strength",S/T,NR,A,
PO62,O,CIPIGMENT,62,Benzimidazolone Orange H5G,"Azo Orange [MG.w];
 Benzimida Orange [DV.a.o.w];
 Benzimidazo Orange [GU.pd.p];
 Benzimidazolone Orange [WN];
 Brilliant Orange;
 Cadmium Orange (hue);
 Cadmium Orange Hue [DV];
 Cadmium Orange Tone [SCH.g];
 Chrome Orange (hue) [SCH.w];
 Chrome Orange, no lead [SCH.w];
 C.I. Pigment Orange 62;
 Helio Genuine Orange [LK];
 Mono Orange [GB.o];
 Novoperm Orange H5G;
 Orange [DV | MA.g | SCH.p];
 Orange HG5;
 Orange Light [SCH]; 
 Orange Yellow [MA.a]; 
 Permanent Orange [AS | BX.o.w | DS.o.w. | MA.w | SQ.a];
 Permanent Yellow Deep [LK]; 
 Pigment Orange 62;
 Pure Orange;
 Trinacria Orange [MA.o(Med)];
 Winsor Orange [WN.w.wp.];
 Yellow Orange [LK]",11775,"Synthetic Organic;
 Monoazo;
 Benzimidazolone;
  
 C17H13ClN6O5
  
 CAS 52846-56-7","Light yellowish to mid-orange;
 Mid. staining w/ fair to adverage tinting strength",S/O,I,A,
PO64,O,CIPIGMENT,64,Benzimidazolone Orange,"Benzimidazolone;
 Benzimida Orange [DV];
 C.I. Pigment Orange 64;
 Cromophtal Orange GP;
 Pigment Orange 64",12760,"Synthetic Organic;
 Monoazo; Benzimidazolone;
 CAS 72102-84-2",Bright reddish orange,S/O,I,A,
PO65,O,CIPIGMENT,65,Benzimidazolone Orange,"Benzimidazo Orange [GU];
 C.I. Pigment Orange 65;
 Cojanil Red;
 Golden Barok Red [OH.w];
 Irgazin Orange 3GL;
 Methin Nickel Scarlet;
 Nickel Orange Deep [GU.pd];
 Nickel Red;
 Pigment Orange 65",48528,"Azomethine nickel complex;
 CAS 20437-10-9","Dull orange red or rich brown (described on handprint as ""not unlike blood as it begins to coagulate"");
 Non-staining w/ good tinting strength",S/T,NR,B,
PO66,O,CIPIGMENT,66,Irgazin Orange 3GL,"C.I. Pigment Orange 66;
 Irgazin orange 3GL;
 Isoindoline Orange Deep [GU.pd];
 Pigment Orange 66",48210,"Synthetic Organic;
 Diketo-pyrrolo-
 pyrrole / Isoindoline",Red Orange,S/O,NR,A,
