manufacturer,name,hex,lineId,pigmentSlugs,lightfastRatingId,transparencyRatingId,stainingRatingId,granulationRatingId,manufacturerDescription,url
Blockx,Chrome Green,#4A7732,,PG17,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-chrome-green-15-ml-tube/
Blockx,Cobalt Blue,#3146CE,,PB28,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-cobalt-blue-15-ml-tube/
Blockx,Cobalt Blue Dark,#3E3FA0,,PB74,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-cobalt-blue-dark-15-ml-tube/
Blockx,Cobalt Green,#3E935A,,PG50,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-cobalt-green-15-ml-tube/
Blockx,Cobalt Violet,#C552BB,,PV14,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-cobalt-violet-15-ml-tube/
Blockx,Crimson Lake,#822733,,PR264,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-crimson-lake-15-ml-tube/
Blockx,Cyanine Blue,#2B3A8E,,PB15:1|PB28,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-cyanine-blue-15-ml-tube/
Blockx,Dioxazine Mauve,#4B2B4F,,PV23,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-dioxazine-mauve-15-ml-tube/
Blockx,French Ultramarine Blue Deep,#3347B9,,PB29,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-french-ultramarine-blue-deep-15-ml-tube/
Blockx,French Ultramarine Blue Light,#3D55C6,,PB29,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-french-ultramarine-blue-light-15-ml-tube/
Blockx,Gamboge,#FFAE05,,PY65,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-gamboge-15-ml-tube/
Blockx,Gold Ochre,#BA8B31,,PBr7,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-gold-ochre-15-ml-tube/
Blockx,Golden Green,#B0BD02,,PY154|PG36,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-golden-green-15-ml-tube/
Blockx,Green Earth,#91974B,,PG23,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-green-earth-15-ml-tube/
Blockx,Hooker's Green,#466A29,,PG7|PBr7,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-hookers-green-15-ml-tube/
Blockx,Indanthrene Blue,#2A368D,,PB60,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-indanthrene-blue-15-ml-tube/
Blockx,Indian Yellow,#FEBD15,,PY154|PO73,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-indian-yellow-15-ml-tube/
